index,category,owner,kind,name,symbol,logogram,abbreviation,explanation,comments,package-imports,property-cardinality,property-owns,grasshopper-guid,grasshopper-construct-guid,grasshopper-destruct-guid
0,package,,,semio,✏️,S,sem,is the root package for everything in semio.,,,,,,,
1,package,semio,,geometry,🌐,Go,geo,contains everything that is geometry related.,,,,,,,
2,package,semio,,model,⭕,M,mdl,contains all semio specific models.,,geometry,,,,,
3,class,geometry,,boundaryrepresentation,🐚,Br,brep,,,,,,,,
4,class,model,,artifact,📝,A,art,is anything that is produced by human or a computer.,,,,,,,
5,class,model,artifact,delineation,🖋️,Dl,dln,,NOT (YET) USED,,,,,,
,class,model,artifact,script,📜,Sc,scr,,NOT (YET) USED,,,,,,
,class,model,delineation,arrangement,🎞️,Ar,arr,is a sequence of plans for scripts of the same kind.,NOT (YET) USED,,,,,,
,class,model,delineation,assembly,🧑‍🏭,As,asm,,NOT (YET) USED,,,,,,
,class,model,delineation,attraction,🧑‍🤝‍🧑,At,atr,,NOT (YET) USED,,,,,,
,class,model,number,byte,🔟,By,byt,,NOT (YET) USED,,,,,,
,property,layout,sobject,sobjects,🛈,So,sbjs,(nodes) of the layout (graph).,NOT (YET) USED,,,,,,
,property,layout,attraction,attractions,🧑‍🤝‍🧑,At,atrs,(edges) of the layout (graph).,NOT (YET) USED,,,,,,
,property,attraction,port,attracting,🧲,An,atn,,NOT (YET) USED,,,,,,
,property,attraction,port,attracted,🪙,Ad,atd,,NOT (YET) USED,,,,,,
,property,artifact,,author,👤,Au,aut,,NOT (YET) USED,,,,,,
,property,representation,,body,👕,B,bdy,,NOT (YET) USED,,,,,,
,property,namevaluepair,,context,🗺️,Cx,ctx,,NOT (YET) USED,,,,,,
,service,model,semio,calculator,🖩,Cl,clc,,NOT (YET) USED,,,,,,
,class,model,text,choice,☶,Ch,chc,is one thing out of a predifined set of choices.,NOT (YET) USED,,,,,,
,service,model,extension,converter,⛪,Cv,cnv,,NOT (YET) USED,,,,,,
,service,model,extension,adapter,🔌,Ap,adp,,NOT (YET) USED,,,,,,
,term,model,,compile,📚,Ci,cpi,,NOT (YET) USED,,,,,,
,term,model,extension,compiler,📚,Ci,cpi,,NOT (YET) USED,,,,,,
,term,model,,computation,💾,C,cmp,,NOT (YET) USED,,,,,,
,term,model,,decimal,🧾,DN,dcm,is a number with decimals.,NOT (YET) USED,,,,,,
,term,model,,decision,🤝,Dc,dcn,,NOT (YET) USED,,,,,,
,term,model,,design,🏙️,Ds,dsn,,NOT (YET) USED,,,,,,
,term,model,,designer,✏,Dr,dsnr,,NOT (YET) USED,,,,,,
,term,model,,description,📝,Dp,dcp,is describing something in an custom or unstructured way.,NOT (YET) USED,,,,,,
,term,model,,dictionary,📖,Di,dic,,NOT (YET) USED,,,,,,
,term,model,,error,❌,Er,err,,NOT (YET) USED,,,,,,
,term,model,,executable,🤖,Ex,exe,,NOT (YET) USED,,,,,,
,term,model,,explanation,ℹ️,Ep,exp,,NOT (YET) USED,,,,,,
,term,model,,encoding,🔐,Ec,enc,,NOT (YET) USED,,,,,,
,term,model,,factor,🏭,Fc,fct,,NOT (YET) USED,,,,,,
,term,model,,factoring,🏭,Fc,fct,,NOT (YET) USED,,,,,,
,term,model,,factory,🏭,Fc,fct,,NOT (YET) USED,,,,,,
,term,model,,form,👪,Fo,for,,NOT (YET) USED,,,,,,
,term,model,,formation,👪,Fo,for,,NOT (YET) USED,,,,,,
,term,model,,former,👪,Fo,for,,NOT (YET) USED,,,,,,
,term,model,,gateway,🚪,GW,gw,,NOT (YET) USED,,,,,,
,term,model,,gene,🧬,G,gne,,NOT (YET) USED,,,,,,
,term,model,,generator,🧪,Gr,gnr,,NOT (YET) USED,,,,,,
,term,model,,generation,🧪,Gr,gnr,,NOT (YET) USED,,,,,,
,term,model,,generate,🧪,Gr,gnr,,NOT (YET) USED,,,,,,
,term,model,,hash,#,Hs,hsh,,NOT (YET) USED,,,,,,
,term,model,,identifier,🆔,ID,id,is a unique identifier to distingusish it from another artifact.,NOT (YET) USED,,,,,,
,term,model,,integer,🔢,IN,int,is a number with a number without decimals.,NOT (YET) USED,,,,,,
,term,model,,infrastructure,⛕,IS,ifs,,NOT (YET) USED,,,,,,
,term,model,,key,🔑,Ky,key,,NOT (YET) USED,,,,,,
,term,model,,knot,🪢,K,knt,,NOT (YET) USED,,,,,,
,term,model,,language,💬,Lg,lng,,NOT (YET) USED,,,,,,
,term,model,,layout,🖧,L,lyt,is a graph of sobjects (nodes) and attractions (slightly directed edges).,NOT (YET) USED,,,,,,
,term,model,,levelofdetail,🔍,LD,lod,,NOT (YET) USED,,,,,,
,term,model,,library,📕,Lb,lib,,NOT (YET) USED,,,,,,
,term,model,,logic,∃,Lg,lgc,,NOT (YET) USED,,,,,,
,term,model,,manager,🧑‍💼,Mr,mngr,,NOT (YET) USED,,,,,,
,term,model,,metadata,🗄️,MD,md,,NOT (YET) USED,,,,,,
,term,model,,modify,⚙️,Mo,mod,,NOT (YET) USED,,,,,,
,term,model,,modification,⚙️,Mo,mod,,NOT (YET) USED,,,,,,
,term,model,,modifier,⚙️,Mo,mod,,NOT (YET) USED,,,,,,
,term,model,,name,📛,N,nme,,NOT (YET) USED,,,,,,
,term,model,,namevaluespair,🗃️,NV,nvp,,NOT (YET) USED,,,,,,
,term,model,,natural,🧮,NN,nnr,is a non-negative number with no decimals.,NOT (YET) USED,,,,,,
,term,model,,number,💯,Nu,num,is any numeric value.,NOT (YET) USED,,,,,,
,term,model,,object,⌂,O,obj,,NOT (YET) USED,,,,,,
,term,model,,parameter,🎚️,Pr,prm,,NOT (YET) USED,,,,,,
,term,model,,part,∈,Pa,par,,NOT (YET) USED,,,,,,
,term,model,,password,,Pw,pwd,,NOT (YET) USED,,,,,,
,term,model,,port,⚓,P,pot,,NOT (YET) USED,,,,,,
,term,model,,point,✴,Pt,pt,,NOT (YET) USED,,,,,,
,term,model,,plan,🛠️,Pl,pla,,NOT (YET) USED,,,,,,
,term,model,,plane,◳,Pn,pln,,NOT (YET) USED,,,,,,
,term,model,,platform,🚉,Pf,ptf,,NOT (YET) USED,,,,,,
,term,model,,prototype,☐,P,ptp,,NOT (YET) USED,,,,,,
,term,model,,representation,🏠,R,rep,,NOT (YET) USED,,,,,,
,term,model,,response,🛬,Rs,rsp,,NOT (YET) USED,,,,,,
,term,model,,requirement,🛃,Rr,rqr,,NOT (YET) USED,,,,,,
,term,model,,request,🙋,Rq,rqs,,NOT (YET) USED,,,,,,
,term,model,,scheme,🗓️,Se,sme,,NOT (YET) USED,,,,,,
,term,model,,schema,🛂,Sa,sma,,NOT (YET) USED,,,,,,
,term,model,,scope,🏷️,So,sco,,NOT (YET) USED,,,,,,
,term,model,,sculpt,🗿,Sl,scl,,NOT (YET) USED,,,,,,
,term,model,,sculpture,🗿,Sl,scl,,NOT (YET) USED,,,,,,
,term,model,,sculpter,🗿,Sl,scl,,NOT (YET) USED,,,,,,
,term,model,,serialization,⚞,Sz,slz,,NOT (YET) USED,,,,,,
,term,model,,service,🛎️,Sv,svc,,NOT (YET) USED,,,,,,
,term,model,,server,🖥️,Sr,srv,,NOT (YET) USED,,,,,,
,term,model,,specification,📄,Sp,spc,,NOT (YET) USED,,,,,,
,term,model,,sobject,🛈,So,sbj,is the semantic description of an object.,NOT (YET) USED,,,,,,
,term,model,,stitch,🪡,St,stc,,NOT (YET) USED,,,,,,
,term,model,,stitching,🪡,St,stc,,NOT (YET) USED,,,,,,
,term,model,,stitcher,🪡,St,stc,,NOT (YET) USED,,,,,,
,term,model,,symbol,🔣,Sb,sym,,NOT (YET) USED,,,,,,
,term,model,,synthesis,🧑‍🔬,Sy,syn,,NOT (YET) USED,,,,,,
,term,model,,synthesizer,🧑‍🔬,Sy,syn,,NOT (YET) USED,,,,,,
,term,model,,synthesizing,🧑‍🔬,Sy,syn,,NOT (YET) USED,,,,,,
,term,model,,text,🔤,Tx,txt,is any textual value.,NOT (YET) USED,,,,,,
,term,model,,transforming,⇲,Tm,trm,,NOT (YET) USED,,,,,,
,term,model,,transform,➡️,T,trf,,NOT (YET) USED,,,,,,
,term,model,,transformation,➡️,T,trf,,NOT (YET) USED,,,,,,
,term,model,,transformer,➡️,T,trf,,NOT (YET) USED,,,,,,
,term,model,,trueorfalse,☑️,TF,tof,is either true or false.,NOT (YET) USED,,,,,,
,term,model,,type,🏘️,Ty,typ,,NOT (YET) USED,,,,,,
,term,model,,uniqueresourceidentifier,🔗,U,uri,,NOT (YET) USED,,,,,,
,term,model,,userinterface,🗔,UI,ui,,NOT (YET) USED,,,,,,
,term,model,,value,🎚️,V,val,,NOT (YET) USED,,,,,,
,term,model,,valuetype,🩻,VT,vlt,,NOT (YET) USED,,,,,,
,term,model,,variant,🛖,Va,var,,NOT (YET) USED,,,,,,
,term,model,,vector,↗️,Vc,vec,,NOT (YET) USED,,,,,,
,term,model,,warning,⚠,W,wrn,,NOT (YET) USED,,,,,,
,term,model,term,concept,✍️,Cp,cpt,,NOT (YET) USED,,,,,,
,term,model,term,comesoftheshelves,💿,Cs,cos,,NOT (YET) USED,,,,,,
